name	price	off	ratings	total_ratings	free_delivery	fastest_delivery
"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN"	26190.0	0.39	3.7	220	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Apple 2024 MacBook Pro Laptop with M4 Pro chip with 14u202fcore CPU and 20u202fcore GPU: Built for Apple Intelligence, (14.2u2033) Liquid Retina XDR Display, 24GB Unified Memory, 1TB SSD Storage; Space Black	51990.0	23.0	3.5	513	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Apple 2024 MacBook Pro Laptop with M4 chip with 10u202fcore CPU and 10u202fcore GPU: Built for Apple Intelligence, (14.2u2033) Liquid Retina XDR Display, 14GB Unified Memory, 1TB SSD Storage; Space Black	51990.0	23.0	3.5	513	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Apple 2024 MacBook Pro Laptop with M4 Pro chip with 10u202fcore CPU and 16u202fcore GPU: Built for Apple Intelligence, (14.2u2033) Liquid Retina XDR Display, 24GB Unified Memory, 512GB SSD Storage; Silver	77490.0	30.0	3.4	11	FREE delivery	Or fastest delivery Tomorrow, 14 Nov
Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4+512GB SSD/Intel UHD Graphics/15 Inch (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill Resistant KB/1.69kg	51990.0	23.0	3.5	513	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Acer Swift Go 14 Built-in AI PC Premium Laptop Intel Core Ultra 5 125H (14-inch OLED WQXGA+/16GB LPDDR5X/512GB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win11/MSO) SFG14-73, Pure Silver, 1.3 Kg	77490.0	30.0	3.4	11	FREE delivery	Only 2 left in stock.
"(Refurbished) Lenovo ThinkPad X270 7th Gen Intel Core i7 Thin & Light HD Laptop (16 GB DDR4 RAM/1 TB SSD/12.5"" (31.8 cm) HD/Windows 11/MS Office/WiFi/BT/Webcam/Intel Graphics)"	20999.0	77.0	4.2	8	FREE delivery Mon, 18 Nov	Or fastest delivery Sat, 16 Nov
HP Pavilion 16, Enhanced by AI, Intel Core Ultra 7 155U, 16-inch (40.6 cm), WUXGA, 16GB LPDDR5x, 512GB SSD, Intel graphics, 1080p FHD IR camera, Copilot, Backlit KB (Win 11, Silver, 1.77 kg), af0028TU	84990.0	18.0	3.3	46	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Acer Travelmate Thin and Light Laptop 11th Gen Intel Core i5-1135G7 (16GB DDR4/512GB SSD/Windows11Home/Intel Graphics) TMP215-53, 15.6-inch FHD Display, Backlit Keybaord, Fingerprint, Black, 1.8 KG	33990.0	49.0	4.0	22	\u20b999 delivery Tomorrow, 14 Nov	
HP Pavilion 14, 12th Gen Intel Core i5-1235U, 14-inch (35.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, FPR, 720p HD camera, Backlit KB (Win 11, MSO 2021, Silver, 1.41 kg), dv2014TU	61990.0	20.0	4.1	795	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN"	41190.0	29.0	4.1	157	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"ASUS TUF Gaming F15, 15.6"" (39.62cm) FHD 144Hz, 13th Gen Intel Core i7-13620H, Gaming Laptop (16GB DDR5/512GB SSD/NVIDIA GeForce RTX 4060 /Windows 11//Mecha Gray/2.20 Kg), FX507VV-LP287W"	105920.0	20.0	4.0	37	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
